3021690023893;PLATS PRÉPARÉ;Ravioli Pur Bœuf (Sauce Tomate Cuisinée);b;Super U,Magasins U;https://fr.openfoodfacts.org/produit/3021690023893/ravioli-pur-boeuf-sauce-tomate-cuisinee-zapetti
3302745733029;PLATS PRÉPARÉ;Le bâtonnet Moelleux - 30 bâtonnets;b;Magasins U;https://fr.openfoodfacts.org/produit/3302745733029/le-batonnet-moelleux-30-batonnets-fleury-michon
3036812020704;PLATS PRÉPARÉ;Gratinée oignons et croûtons;c;leclerc,Magasins U;https://fr.openfoodfacts.org/produit/3036812020704/gratinee-oignons-et-croutons-royco
8001665127974;PLATS PRÉPARÉ;Tortellini Pesto, Basilic & Pignons;c;Carrefour Market,Franprix;https://fr.openfoodfacts.org/produit/8001665127974/tortellini-pesto-basilic-pignons-rana
3011360002280;PLATS PRÉPARÉ;Mouliné de légumes verts Knorr;b;Carrefour;https://fr.openfoodfacts.org/produit/3011360002280/mouline-de-legumes-verts-knorr
3175681028098;PLATS PRÉPARÉ;Galettes Epeautre et Boulghour aux petits légumes;a;Carrefour Market, Magasins U;https://fr.openfoodfacts.org/produit/3175681028098/galettes-epeautre-et-boulghour-aux-petits-legumes-cereal-bio
8001665128032;PLATS PRÉPARÉ;Gourmet - Grand ravioli Cèpes, Fromage & Champignons Émincés;d;Magasins U,Monoprix,Franprix,Carrefour Market;https://fr.openfoodfacts.org/produit/8001665128032/gourmet-grand-ravioli-cepes-fromage-champignons-eminces-giovanni-rana
3175681061460;PLATS PRÉPARÉ;Cappelletti au chevre, tofu, epinards, sauce tomate;a;Magasins U;https://fr.openfoodfacts.org/produit/3175681061460/cappelletti-au-chevre-tofu-epinards-sauce-tomate-cereal-bio
3242272341550;PLATS PRÉPARÉ;Dolce Pizza Campanella;d;Hyper U,Cora;https://fr.openfoodfacts.org/produit/3242272341550/dolce-pizza-campanella-sodebo
3266980028428;PLATS PRÉPARÉ;L'escalope Cordon Bleu;c;Carrefour market,Carrefour,Leclerc;https://fr.openfoodfacts.org/produit/3266980028428/l-escalope-cordon-bleu-le-gaulois
3560070262137;PLATS PRÉPARÉ;Pizza Bûche de Chèvre;c;Carrefour;https://fr.openfoodfacts.org/produit/3560070262137/pizza-buche-de-chevre-carrefour-bio
3600900011037;PLATS PRÉPARÉ;quinoa;a;carrefour,Leclerc, Magasins U;https://fr.openfoodfacts.org/produit/3600900011037/quinoa-tipiak
3083680659048;PLATS PRÉPARÉ;Ratatouille cuisinée à la provençale;a;Magasins U;https://fr.openfoodfacts.org/produit/3083680659048/ratatouille-cuisinee-a-la-provencale-cassegrain
3083680484466;PLATS PRÉPARÉ;Taboulé oriental;b;Leclerc,Franprix,Magasins U;https://fr.openfoodfacts.org/produit/3083680484466/taboule-oriental-bonduelle
3175681085398;PLATS PRÉPARÉ;Quinoa et Boulghour à l'indienne Bio;a;Magasins U;https://fr.openfoodfacts.org/produit/3175681085398/quinoa-et-boulghour-a-l-indienne-bio-cereal-bio
3564700005330;PLATS PRÉPARÉ;Velouté de 9 légumes;b;Leclerc;https://fr.openfoodfacts.org/produit/3564700005330/veloute-de-9-legumes-regal-soupe
3251490432650;PLATS PRÉPARÉ;Croq' soja à la provençale;a;Carrefour,Intermarche,Casino, Magasins U;https://fr.openfoodfacts.org/produit/3251490432650/croq-soja-a-la-provencale-cereal-bio
3270160196876;PLATS PRÉPARÉ;8 portions panées de Colin d'Alaska;b;Picard;https://fr.openfoodfacts.org/produit/3270160196876/8-portions-panees-de-colin-d-alaska-picard
3083680652094;PLATS PRÉPARÉ;Lentilles cuisinées aux oignons et carottes;a;Carrefour, Magasins U;https://fr.openfoodfacts.org/produit/3083680652094/lentilles-cuisinees-aux-oignons-et-carottes-cassegrain
3165440008935;PLATS PRÉPARÉ;Céréales Méditerranéennes persillade;d;Leclerc, Magasins U;https://fr.openfoodfacts.org/produit/3165440008935/cereales-mediterraneennes-persillade-tipiak
3261055930439;PLATS PRÉPARÉ;Le Cassoulet Mitonné;a;Leclerc,Franprix;https://fr.openfoodfacts.org/produit/3261055930439/le-cassoulet-mitonne-william-saurin
3270160727810;PLATS PRÉPARÉ;12 sushis au saumons : 6 nigiri saumon et 6;c;Picard;https://fr.openfoodfacts.org/produit/3270160727810/12-sushis-au-saumons-6-nigiri-saumon-et-6-picard
3270160592173;PLATS PRÉPARÉ;Poêlée à la forestière;a;Picard;https://fr.openfoodfacts.org/produit/3270160592173/poelee-a-la-forestiere-picard
3302741939104;PLATS PRÉPARÉ;Le Bâtonnet Moelleux (18 Bâtonnets);c;Carrefour,Super U,Carrefour market;https://fr.openfoodfacts.org/produit/3302741939104/le-batonnet-moelleux-18-batonnets-fleury-michon
3600900005159;PLATS PRÉPARÉ;Taboule parfumé menthe citron;d;Carrefour, Magasins U;https://fr.openfoodfacts.org/produit/3600900005159/taboule-parfume-menthe-citron-tipiak
3270160837380;PLATS PRÉPARÉ;2 galettes au sarrasin tomates mozzarella basilic;c;Picard;https://fr.openfoodfacts.org/produit/3270160837380/2-galettes-au-sarrasin-tomates-mozzarella-basilic-picard
3560070998753;PLATS PRÉPARÉ;Nuggets Blé, Oignon;b;Carrefour Market, Carrefour;https://fr.openfoodfacts.org/produit/3560070998753/nuggets-ble-oignon-carrefour
20466787;PLATS PRÉPARÉ;Taboulé au Poulet à la ciboulette;b;Lidl;https://fr.openfoodfacts.org/produit/20466787/taboule-au-poulet-a-la-ciboulette-saladinettes
3242274003050;PLATS PRÉPARÉ;Salade & Compagnie - Roma;a;Auchan,Casino,Carrefour, Magasins U;https://fr.openfoodfacts.org/produit/3242274003050/salade-compagnie-roma-sodebo
3270160114382;PLATS PRÉPARÉ;Ratatouille Cuisinée;a;Picard;https://fr.openfoodfacts.org/produit/3270160114382/ratatouille-cuisinee-picard
3273220086032;PLATS PRÉPARÉ;Steaks de soja fines herbes;a;Monoprix,Carrefour, Magasins U;https://fr.openfoodfacts.org/produit/3273220086032/steaks-de-soja-fines-herbes-sojasun
3600900006682;PLATS PRÉPARÉ;Légumes Secs Gourmands;a;Carrefour, Magasins U;https://fr.openfoodfacts.org/produit/3600900006682/legumes-secs-gourmands-tipiak
8712100380976;PLATS PRÉPARÉ;Velouté de 9 légumes;b;Monoprix;https://fr.openfoodfacts.org/produit/8712100380976/veloute-de-9-legumes-knorr
3242271730553;PLATS PRÉPARÉ;Galette au Blé Noir Jambon Emmental;c;Carrefour Market,Simply Market,Magasins U;https://fr.openfoodfacts.org/produit/3242271730553/galette-au-ble-noir-jambon-emmental-sodebo
3270160860241;PLATS PRÉPARÉ;Poulet façon fajitas et riz aux épices;b;Picard;https://fr.openfoodfacts.org/produit/3270160860241/poulet-facon-fajitas-et-riz-aux-epices-picard
3021690201123;PLATS PRÉPARÉ;Lentilles cuisinées à l'Auvergnate;a;Carrefour market, Magasins U;https://fr.openfoodfacts.org/produit/3021690201123/lentilles-cuisinees-a-l-auvergnate-raynal-et-roquelaure
3242272450559;PLATS PRÉPARÉ;Pizza Style 3 Fromages;d;Intermarché,Casino;https://fr.openfoodfacts.org/produit/3242272450559/pizza-style-3-fromages-sodebo
3270160727315;PLATS PRÉPARÉ;16 Mini-Mems (Poulet, Menthe, Légumes, Coriandre);b;Picard;https://fr.openfoodfacts.org/produit/3270160727315/16-mini-mems-poulet-menthe-legumes-coriandre-cuisine-evasion
3302740606106;PLATS PRÉPARÉ;Poulet et Risotto aux cèpes;b;Franprix,Casino,Super U,Magasins U;https://fr.openfoodfacts.org/produit/3302740606106/poulet-et-risotto-aux-cepes-fleury-michon
3175681104297;PLATS PRÉPARÉ;Boulghour de riz, légumes et colombo;a;Leclerc;https://fr.openfoodfacts.org/produit/3175681104297/boulghour-de-riz-legumes-et-colombo-cereal-bio
3256220269254;PLATS PRÉPARÉ;Nuggets de Blanc de Poulet surgelés - 300 g - U;b;Super U,Magasins U;https://fr.openfoodfacts.org/produit/3256220269254/nuggets-de-blanc-de-poulet-surgeles-300-g-u
3270160066094;PLATS PRÉPARÉ;Potage mélange de légumes;a;Picard;https://fr.openfoodfacts.org/produit/3270160066094/potage-melange-de-legumes-picard
4001724819806;PLATS PRÉPARÉ;Ristorante Pizza Mozzarella;d;Coles,Bilo,Woolworths,Willys,Coop Konsum,Magasins U;https://fr.openfoodfacts.org/produit/4001724819806/ristorante-pizza-mozzarella-dr-oetker
3175681132467;PLATS PRÉPARÉ;Galettes Orge & Boulghour au chèvre et miel;a;Casino,Magasins U;https://fr.openfoodfacts.org/produit/3175681132467/galettes-orge-boulghour-au-chevre-et-miel-cereal-bio
3270160493340;PLATS PRÉPARÉ;Tagliatelles aux Truffes Blanches et Champignons de Paris;c;Picard;https://fr.openfoodfacts.org/produit/3270160493340/tagliatelles-aux-truffes-blanches-et-champignons-de-paris-picard
3270160591763;PLATS PRÉPARÉ;Quinoa et céréales cuisinés / légumes;a;Picard;https://fr.openfoodfacts.org/produit/3270160591763/quinoa-et-cereales-cuisines-legumes-picard
3270160813681;PLATS PRÉPARÉ;Lasagnes aux Légumes Grillés et à la Mozzarella, Surgelées;b;Picard;https://fr.openfoodfacts.org/produit/3270160813681/lasagnes-aux-legumes-grilles-et-a-la-mozzarella-surgelees-picard
